MAG,LOCAL DATETIME,LAT,LON,DEPTH
,y/m/d h:m:s,deg,deg,km
0.9,06/04/2022 21:00,38.829N,122.815W,1.75
0.9,06/04/2022 21:00,38.829N,122.815W,1.58
1,06/04/2022 20:59,37.074N,121.501W,6.9
1.7,06/04/2022 20:40,35.797N,118.045W,8.73
0.3,06/04/2022 20:24,34.463N,117.948W,9.5
0.6,06/04/2022 20:14,38.824N,122.854W,1.46
0.6,06/04/2022 19:49,36.062N,117.860W,2.55
0.4,06/04/2022 19:41,38.249N,118.362W,10.4
0.7,06/04/2022 19:39,38.821N,122.762W,1.9
1.4,06/04/2022 19:30,33.938N,116.982W,17.85
0.4,06/04/2022 19:27,38.793N,122.759W,2.81
1,06/04/2022 19:27,35.681N,117.485W,6.86
1,06/04/2022 19:19,36.184N,117.873W,6.23
0.1,06/04/2022 19:14,38.264N,118.441W,0
2,06/04/2022 19:12,38.792N,122.725W,2.09
1.6,06/04/2022 19:02,40.702N,122.271W,19.17
-0.2,06/04/2022 18:57,39.232N,120.090W,7.7
0.8,06/04/2022 18:50,38.799N,122.751W,2.37
2.1,06/04/2022 18:47,38.624N,119.814W,3.08
1.7,06/04/2022 18:36,35.827N,117.665W,8.77
1.4,06/04/2022 18:12,37.333N,117.895W,9.8
2.1,06/04/2022 17:55,38.167N,117.880W,7.7
1.2,06/04/2022 17:54,38.825N,122.807W,2.51
0.4,06/04/2022 17:50,38.822N,122.787W,2.64
1,06/04/2022 17:49,38.252N,118.358W,10.4
1.1,06/04/2022 17:27,33.952N,116.950W,0.12
1.4,06/04/2022 17:27,34.304N,117.015W,4.09
0.8,06/04/2022 17:25,36.969N,121.608W,3.24
1.7,06/04/2022 17:25,41.610N,122.425W,16.96
0.3,06/04/2022 17:12,38.833N,122.799W,1.46
0.6,06/04/2022 17:03,38.306N,119.438W,14.3
1,06/04/2022 16:45,38.835N,122.805W,1.87
1.2,06/04/2022 16:37,38.818N,122.809W,3.01
2.9,06/04/2022 16:29,37.579N,118.866W,3.42
0.9,06/04/2022 15:55,34.103N,117.577W,10.79
0,06/04/2022 15:38,35.931N,117.661W,3.68
0.4,06/04/2022 15:28,38.821N,122.787W,1.08
1.1,06/04/2022 15:23,35.944N,117.329W,5.58
1.2,06/04/2022 15:19,33.867N,117.499W,-0.48
0.4,06/04/2022 15:17,38.835N,122.792W,1.47
1.8,06/04/2022 15:10,35.825N,117.645W,8.31
0.5,06/04/2022 15:06,38.841N,122.758W,0.57
1.3,06/04/2022 15:05,33.779N,116.156W,4.95
1.4,06/04/2022 14:43,36.099N,117.859W,2.17
0.8,06/04/2022 14:39,33.484N,116.427W,13.75
0.9,06/04/2022 14:39,33.480N,116.431W,13.23
0.8,06/04/2022 14:35,33.337N,116.928W,16.39
1.1,06/04/2022 14:30,40.011N,120.954W,11.1
1.8,06/04/2022 14:22,33.780N,116.155W,5.08
0.5,06/04/2022 14:17,36.056N,117.912W,3.99
1,06/04/2022 14:03,33.777N,116.161W,4.78
1.2,06/04/2022 13:42,33.782N,116.154W,5.8
1.2,06/04/2022 13:40,36.576N,121.427W,-0.43
2,06/04/2022 13:31,38.786N,122.766W,2.43
1.6,06/04/2022 13:22,33.781N,116.159W,4.88
0.2,06/04/2022 13:19,38.822N,122.766W,1.97
0.6,06/04/2022 13:14,37.489N,118.843W,5
1.2,06/04/2022 12:52,36.012N,117.804W,1.43
2.4,06/04/2022 12:52,33.782N,116.156W,4.92
